工地名稱,地址,GoogleMap網址,工地主任,聯絡電話
立璟-清水園區,清水橋旁園區,https://maps.app.goo.gl/gCUuoxsr9HmykAWv9,楊主任,0979-929220
展興-鄭坤在-地熱,清水地熱,https://maps.app.goo.gl/3tWWA7WwGayf118Q9,主任,0921610779
